Patent_Number,Title,Date,CPC,Abstract
"9,530,412",System and method for multi-agent architecture for interactive machines,"December 27, 2016",G10L 15/22 (20130101); G10L 2015/227 (20130101); G10L 15/222 (20130101),"Systems, methods, and computer-readable storage devices are for an event-driven multi-agent architecture improves via a semi-hierarchical multi-agent reinforcement learning approach. A system receives a user input during a speech dialog between a user and the system. The system then processes the user input, identifying an importance of the user input to the speech dialog based on a user classification and identifying a variable strength turn-taking signal inferred from the user input. An utterance selection agent selects an utterance for replying to the user input based on the importance of the user input, and a turn-taking agent determines whether to output the utterance based on the utterance, and the variable strength turn-taking signal. When the turn-taking agent indicates the utterance should be output, the system selects when to output the utterance."
"9,373,163",Method for controlling a laser processing operation by means of a reinforcement learning agent and laser material processing head using the same,"June 21, 2016",B23K 1/0056 (20130101); B23K 26/34 (20130101); B23K 28/02 (20130101); G05B 19/4083 (20130101); G06K 9/6247 (20130101); G06K 9/6248 (20130101); G05B 13/0265 (20130101); G05B 13/0285 (20130101); G06T 7/0004 (20130101); B23K 26/32 (20130101); B23K 26/322 (20130101); B23K 26/26 (20130101); B23K 26/348 (20151001); B23K 26/032 (20130101); B23K 2103/50 (20180801); G05B 2219/35085 (20130101); B23K 2103/08 (20180801); B23K 2101/34 (20180801); B23K 2103/02 (20180801),"The present invention relates to a method for controlling a processing operation of a workpiece by means of a Reinforcement Learning (RL) agent unit, comprising the steps of: (a) observing an interaction zone in the workpiece by means of at least one radiation sensor to generate at least one sensor signal s.sub.t, wherein the workpiece is processed using an actuator having an initial actuator value a.sub.t; (b) determining a basis function .PHI.(s.sub.t) from the set of sensor signals s.sub.t; (c) determining a reward function r.sub.t giving the probability of good results of the processing operation; (d) choosing a next actuator value a.sub.t+1 on the basis of a policy .pi. depending on the reward function r.sub.t and the basis function .PHI.(s.sub.t); and (e) repeating the steps (a) to (d) for further time points to perform a RL controlled processing operation."
"9,367,798",Spiking neuron network adaptive control apparatus and methods,"June 14, 2016",G05B 13/027 (20130101); G06N 3/08 (20130101); G06N 3/049 (20130101),"Adaptive controller apparatus of a plant may be implemented. The controller may comprise an encoder block and a control block. The encoder may utilize basis function kernel expansion technique to encode an arbitrary combination of inputs into spike output. The controller may comprise spiking neuron network operable according to reinforcement learning process. The network may receive the encoder output via a plurality of plastic connections. The process may be configured to adaptively modify connection weights in order to maximize process performance, associated with a target outcome. The relevant features of the input may be identified and used for enabling the controlled plant to achieve the target outcome."
"9,349,092",Neural network for reinforcement learning,"May 24, 2016",G06N 3/049 (20130101); G06N 20/00 (20190101); G06N 3/08 (20130101); G06N 3/04 (20130101),"A neural model for reinforcement-learning and for action-selection includes a plurality of channels, a population of input neurons in each of the channels, a population of output neurons in each of the channels, each population of input neurons in each of the channels coupled to each population of output neurons in each of the channels, and a population of reward neurons in each of the channels. Each channel of a population of reward neurons receives input from an environmental input, and is coupled only to output neurons in a channel that the reward neuron is part of. If the environmental input for a channel is positive, the corresponding channel of a population of output neurons are rewarded and have their responses reinforced, otherwise the corresponding channel of a population of output neurons are punished and have their responses attenuated."
"9,256,371",Implementing reinforcement learning based flash control,"February 9, 2016",G06F 3/0613 (20130101); G06F 3/0629 (20130101); G06F 3/0679 (20130101); G06F 3/0688 (20130101); G06F 3/061 (20130101); G06F 3/0634 (20130101); G06F 3/0614 (20130101),"A method and system are provided for implementing enhanced flash storage control using reinforcement learning to provide enhanced performance metrics. A flash controller, such as a Reinforcement Learning (RL) flash controller, is coupled to a flash storage. The flash controller defines a feature set of flash parameters determined by a predefined one of a plurality of optimization metrics. The optimization metric is adapted dynamically based upon system workload and system state. The flash controller employing the feature set including at least one feature responsive to erase operations; computes a current system state responsive to the employed feature set; selects actions at each time step by sensing the computed current system state for performing an action to maximize a long term reward, and moves to another state in the system while obtaining a short-term reward for the performed action."
"9,213,910",Reinforcement learning approach to character level segmentation of license plate images,"December 15, 2015",G06K 9/34 (20130101); G06K 9/6256 (20130101); G06K 9/325 (20130101); G06K 9/00791 (20130101); G06K 2209/15 (20130101),Methods and systems for achieving accurate segmentation of characters with respect to a license plate image utilizing a reinforcement learning approach. A vehicle image can be captured by an image capturing unit and processed utilizing an ALPR (Automatic License Plate Recognition) unit. The reinforcement learning (RL) approach can be configured to initialize a segmentation agent with a starting location. A proper segmentation path (cuts) from top to bottom and from a darker to lighter area in a cropped license plate image can be identified by the segmentation agent during a training phase. Rewards can be provided based on a number of good and bad moves. The association between a current state and a sensory input with a preferred action can be learned by the segmentation agent at the end of the training phase.
"9,191,304",Reinforcement learning-based distributed network routing method utilizing integrated tracking and selective sweeping,"November 17, 2015",H04L 12/6418 (20130101); H04L 45/08 (20130101); H04W 40/26 (20130101); H04W 40/248 (20130101); H04W 40/20 (20130101),"A reinforcement learning-based method is provided that enables efficient communication for networks having varying numbers and topologies of mobile and stationary nodes. The method provides an autonomous, optimized, routing method that may be implemented in a distributed manner among the nodes that allows the nodes to make intelligent decisions of how to forward data from a source node to a destination node with little or no a priori information about the network. The method involves receiving, at a node within a distributed network, data packets containing position and velocity information from a transmitting node. Position and velocity estimates are determined for the transmitting and receiving nodes using the position and velocity information. State-action pair value estimates are determined in the destination direction for forward packets and the source direction for backward sweeping packets, along with associated destination direction and source direction state value estimates, which determine packet transmittal."
"9,530,412",System and method for multi-agent architecture for interactive machines,"December 27, 2016",G10L 15/22 (20130101); G10L 2015/227 (20130101); G10L 15/222 (20130101),"Systems, methods, and computer-readable storage devices are for an event-driven multi-agent architecture improves via a semi-hierarchical multi-agent reinforcement learning approach. A system receives a user input during a speech dialog between a user and the system. The system then processes the user input, identifying an importance of the user input to the speech dialog based on a user classification and identifying a variable strength turn-taking signal inferred from the user input. An utterance selection agent selects an utterance for replying to the user input based on the importance of the user input, and a turn-taking agent determines whether to output the utterance based on the utterance, and the variable strength turn-taking signal. When the turn-taking agent indicates the utterance should be output, the system selects when to output the utterance."
"9,367,798",Spiking neuron network adaptive control apparatus and methods,"June 14, 2016",G05B 13/027 (20130101); G06N 3/08 (20130101); G06N 3/049 (20130101),"Adaptive controller apparatus of a plant may be implemented. The controller may comprise an encoder block and a control block. The encoder may utilize basis function kernel expansion technique to encode an arbitrary combination of inputs into spike output. The controller may comprise spiking neuron network operable according to reinforcement learning process. The network may receive the encoder output via a plurality of plastic connections. The process may be configured to adaptively modify connection weights in order to maximize process performance, associated with a target outcome. The relevant features of the input may be identified and used for enabling the controlled plant to achieve the target outcome."
"9,189,730",Modulated stochasticity spiking neuron network controller apparatus and methods,"November 17, 2015",G06N 3/049 (20130101); G06N 3/08 (20130101),"Adaptive controller apparatus of a plant may be implemented. The controller may comprise an encoder block and a control block. The encoder may utilize basis function kernel expansion technique to encode an arbitrary combination of inputs into spike output. The controller may comprise spiking neuron network operable according to reinforcement learning process. The network may receive the encoder output via a plurality of plastic connections. The process may be configured to adaptively modify connection weights in order to maximize process performance, associated with a target outcome. The relevant features of the input may be identified and used for enabling the controlled plant to achieve the target outcome. The stochasticity of the learning process may be modulated. Stochasticity may be increased during initial stage of learning in order to encourage exploration. During subsequent controller operation, stochasticity may be reduced to reduce energy use by the controller."
"9,146,546",Systems and apparatus for implementing task-specific learning using spiking neurons,"September 29, 2015",G06N 3/049 (20130101); G05B 13/027 (20130101),"Generalized learning rules may be implemented. A framework may be used to enable adaptive spiking neuron signal processing system to flexibly combine different learning rules (supervised, unsupervised, reinforcement learning) with different methods (online or batch learning). The generalized learning framework may employ time-averaged performance function as the learning measure thereby enabling modular architecture where learning tasks are separated from control tasks, so that changes in one of the modules do not necessitate changes within the other. Separation of learning tasks from the control tasks implementations may allow dynamic reconfiguration of the learning block in response to a task change or learning method change in real time. The generalized spiking neuron learning apparatus may be capable of implementing several learning rules concurrently based on the desired control application and without requiring users to explicitly identify the required learning rule composition for that task."
"9,104,186",Stochastic apparatus and methods for implementing generalized learning rules,"August 11, 2015",G05B 13/027 (20130101); G06N 20/00 (20190101); G06N 3/049 (20130101),"Generalized learning rules may be implemented. A framework may be used to enable adaptive signal processing system to flexibly, combine different learning rules (supervised, unsupervised, reinforcement learning) with different methods (online or batch learning). The generalized learning framework may employ time-averaged performance function as the learning measure thereby enabling modular architecture where learning tasks are separated from control tasks, so that changes in one of the modules do not necessitate changes within the other. The generalized learning apparatus may be capable of implementing several learning rules concurrently based on the desired control application and without requiring users to explicitly identify the required learning rule composition for that application."
"9,082,079",Proportional-integral-derivative controller effecting expansion kernels comprising a plurality of spiking neurons associated with a plurality of receptive fields,"July 14, 2015",G06N 3/049 (20130101); G06N 3/08 (20130101),"Adaptive proportional-integral-derivative controller apparatus of a plant may be implemented. The controller may comprise an encoder block utilizing basis function kernel expansion technique to encode an arbitrary combination of inputs into spike output. The basis function kernel may comprise one or more operators configured to manipulate basis components. The controller may comprise spiking neuron network operable according to reinforcement learning process. The network may receive the encoder output via a plurality of plastic connections. The process may be configured to adaptively modify connection weights in order to maximize process performance, associated with a target outcome. Features of the input may be identified and used for enabling the controlled plant to achieve the target outcome."
"9,015,092",Dynamically reconfigurable stochastic learning apparatus and methods ,"April 21, 2015",G06N 20/00 (20190101); G06N 3/08 (20130101),"Generalized learning rules may be implemented. A framework may be used to enable adaptive signal processing system to flexibly combine different learning rules (supervised, unsupervised, reinforcement learning) with different methods (online or batch learning). The generalized learning framework may employ average performance function as the learning measure thereby enabling modular architecture where learning tasks are separated from control tasks, so that changes in one of the modules do not necessitate changes within the other. Separation of learning tasks from the control tasks implementations may allow dynamic reconfiguration of the learning block in response to a task change or learning method change in real time. The generalized learning apparatus may be capable of implementing several learning rules concurrently based on the desired control application and without requiring users to explicitly identify the required learning rule composition for that application."
"8,996,177",Robotic training apparatus and methods,"March 31, 2015",B25J 9/163 (20130101); G06N 3/049 (20130101); G06N 3/008 (20130101); Y10S 901/03 (20130101),"Adaptive controller apparatus of a robot may be implemented. The controller may be operated in accordance with a reinforcement learning process. A trainer may observe movements of the robot and provide reinforcement signals to the controller via a remote clicker. The reinforcement may comprise one or more degrees of positive and/or negative reinforcement. Based on the reinforcement signal, the controller may adjust instantaneous cost and to modify controller implementation accordingly. Training via reinforcement combined with particular cost evaluations may enable the robot to move more like an animal."
"8,965,819",System and method for effective caching using neural networks,"February 24, 2015",G06F 12/121 (20130101),"Systems and methods for selecting an appropriate caching algorithm to be used when temporarily storing data accessed by an executing application using a neural network may dynamically and/or iteratively replace an initial caching algorithm being used for the application. An input layer of the neural network may gather values of performance related parameters, such as cache hit rates, data throughput rates, or memory access request response times. The neural network may detect a pattern or change in a pattern of accesses, or a change in a workload, a hardware component, or an operating system parameter. Dependent on these and/or other inputs, the neural network may select and apply a caching algorithm likely to improve performance of the application. Other inputs to the neural network may include values of hardware configuration parameters and/or operating system parameters. The neural network may perform a training exercise or may be self-training, e.g., using reinforcement learning."
"8,943,008",Apparatus and methods for reinforcement learning in artificial neural networks,"January 27, 2015",G06N 3/08 (20130101); G06N 20/00 (20190101); G06N 3/049 (20130101); G05B 13/027 (20130101),"Neural network apparatus and methods for implementing reinforcement learning. In one implementation, the neural network is a spiking neural network, and the apparatus and methods may be used for example to enable an adaptive signal processing system to effect focused exploration by associative adaptation, including providing a negative reward signal to the network, which may increase excitability of the neurons in combination with decrease in excitability of active neurons. In certain implementations, the increase is gradual and of smaller magnitude, compared to the excitability decrease. In some implementations, the increase/decrease of the neuron excitability is effectuated by increasing/decreasing an efficacy of the respective synaptic connections delivering presynaptic inputs into the neuron. The focused exploration may be achieved for instance by non-associative potentiation configured based at least on the input spike rate. The non-associative potentiation may further comprise depression of connections that provide input in excess of a desired limit."
"8,918,866",Adaptive rule loading and session control for securing network delivered services,"December 23, 2014",H04L 63/20 (20130101); H04L 63/1441 (20130101),"Mechanisms are provided for handling client computing device requests with adaptive rule loading and session control. The mechanisms partition a set of rules, into a plurality of filter sets with each filter set having a different subset of the set of rules and being directed to identifying a different type of attack on a backend application or service. A subset of filter sets is selected to be used to validate client computing device requests received from client computing devices. The selected filter sets are applied to requests and/or responses to requests. The mechanisms dynamically modify which filter sets are included in the subset of filter sets based on an adaptive reinforcement learning operation on results of applying the selected filter sets to the requests and/or responses to requests."
"8,909,567","Method and system for the dynamic allocation of resources based on fairness, throughput, and user behavior measurement ","December 9, 2014",G06Q 10/00 (20130101); G06N 20/00 (20190101); G06Q 50/00 (20130101),"A system and method for the dynamic allocation of resources based on fairness, throughput, and user behavior measurement. A resource allocation decision can be made based on an index value computed by a selection index function. A fairness coefficient and a throughput coefficient, which represent the significance of fairness and throughput can be computed utilizing a reinforcement learning algorithm. The degree of fairness and throughput coefficient can be varied while allocating resources. A user behavior coefficient with respect to a user can be computed to determine the degree of cooperativeness of the user with other users and the value of user behavior coefficient can be updated each time it interacts with the system."
"8,897,767",Parameter setting apparatus and parameter setting method,"November 25, 2014",G05B 23/0251 (20130101); H04W 24/02 (20130101),"A parameter setting apparatus includes a memory, and a processor that executes a procedure in the memory, the procedure including, selecting and executes one of a plurality of optimization operations to optimize a control parameter of a mobile communication network in accordance with a common value function, in response to a state variable in each of a plurality of different areas in the mobile communication network, the common value function determining an action value of each optimization operation responsive to the state variable of the mobile communication network, determining a reward responsive to the state variable in each of the plurality of areas, and performing reinforcement learning to update the common value function in response to the reward determined on each area."
"8,892,487",Electronic synapses for reinforcement learning,"November 18, 2014",G06N 3/063 (20130101); G06N 3/08 (20130101); G11C 11/54 (20130101); G06N 3/0635 (20130101),"Embodiments of the invention provide electronic synapse devices for reinforcement learning. An electronic synapse is configured for interconnecting a pre-synaptic electronic neuron and a post-synaptic electronic neuron. The electronic synapse comprises memory elements configured for storing a state of the electronic synapse and storing meta information for updating the state of the electronic synapse. The electronic synapse further comprises an update module configured for updating the state of the electronic synapse based on the meta information in response to an update signal for reinforcement learning. The update module is configured for updating the state of the electronic synapse based on the meta information, in response to a delayed update signal for reinforcement learning based on a learning rule."
"8,886,357","Reinforcement learning apparatus, control apparatus, and reinforcement learning method","November 11, 2014",G05B 13/0265 (20130101); Y10S 901/03 (20130101),It is possible to perform robot motor learning in a quick and stable manner using a reinforcement learning apparatus including: a first-type environment parameter obtaining unit that obtains a value of one or more first-type environment parameters; a control parameter value calculation unit that calculates a value of one or more control parameters maximizing a reward by using the value of the one or more first-type environment parameters; a control parameter value output unit that outputs the value of the one or more control parameters to the control object; a second-type environment parameter obtaining unit that obtains a value of one or more second-type environment parameters; a virtual external force calculation unit that calculates the virtual external force by using the value of the one or more second-type environment parameters; and a virtual external force output unit that outputs the virtual external force to the control object.
"8,819,523",Adaptive controller for a configurable audio coding system,"August 26, 2014",G10L 19/22 (20130101); H03M 13/35 (20130101); H03M 13/01 (20130101),"An adaptive controller for a configurable audio coding system comprising a fuzzy logic controller modified to use reinforcement learning to create an intelligent control system. With no knowledge of the external system into which it is placed the audio coding system, under the control of the adaptive controller, is capable of adapting its coding configuration to achieve user set performance goals."
"8,793,557",Method and apparatus for real-time multidimensional adaptation of an audio coding system,"July 29, 2014",G10L 19/22 (20130101),"An adaptive controller for a configurable audio coding system including a fuzzy logic controller modified to use reinforcement learning to create an intelligent control system. With no knowledge of the external system into which it is placed the audio coding system, under the control of the adaptive controller, is capable of adapting its coding configuration to achieve user set performance goals."
"8,788,439",Instance weighted learning machine learning model,"July 22, 2014",G06N 3/0454 (20130101); H04L 63/302 (20130101); G06N 20/00 (20190101); H04L 67/42 (20130101); H04W 4/08 (20130101); H04L 67/1097 (20130101),"An instance weighted learning (IWL) machine learning model. In one example embodiment, a method of employing an IWL machine learning model to train a classifier may include determining a quality value that should be associated with each machine learning training instance in a temporal sequence of reinforcement learning machine learning training instances, associating the corresponding determined quality value with each of the machine learning training instances, and training a classifier using each of the machine learning training instances. Each of the machine learning training instances includes a state-action pair and is weighted during the training based on its associated quality value using a weighting factor that weights different quality values differently such that the classifier learns more from a machine learning training instance with a higher quality value than from a machine learning training instance with a lower quality value."
"8,626,565",Vehicle dispatching method and system,"January 7, 2014",G06Q 10/02 (20130101); G06N 20/00 (20190101); G06Q 50/30 (20130101); G08G 1/00 (20130101); G01C 21/343 (20130101); G05D 1/0291 (20130101); G06Q 10/06312 (20130101); G06Q 50/28 (20130101); G08G 1/22 (20130101); G05D 1/0221 (20130101); G05D 1/0088 (20130101); G01C 21/3492 (20130101); G08G 1/202 (20130101); G06Q 10/04 (20130101); G06Q 2240/00 (20130101); G05D 2201/0212 (20130101),"A system and method for dispatching a plurality of vehicles operating in a work area among a plurality of destination locations and a plurality of source locations includes implementing linear programming that takes in an optimization function and constraints to generate an optimum schedule for optimum production, utilizing a reinforcement learning algorithm that takes in the schedule as input and cycles through possible environmental states that could occur within the schedule by choosing one possible action for each possible environmental state and by observing the reward obtained by taking the action at each possible environmental state, developing a policy for each possible environmental state, and providing instructions to follow an action associated with the policy."
"8,504,504",System and method for distributed denial of service identification and prevention,"August 6, 2013",H04L 63/1458 (20130101),"Systems and methods for discovery and classification of denial of service attacks in a distributed computing system may employ local agents on nodes thereof to detect resource-related events. An information later agent may determine if events indicate attacks, perform clustering analysis to determine if they represent known or unknown attack patterns, classify the attacks, and initiate appropriate responses to prevent and/or mitigate the attack, including sending warnings and/or modifying resource pool(s). The information layer agent may consult a knowledge base comprising information associated with known attack patterns, including state-action mappings. An attack tree model and an overlay network (over which detection and/or response messages may be sent) may be constructed for the distributed system. They may be dynamically modified in response to changes in system configuration, state, and/or workload. Reinforcement learning may be applied to the tuning of attack detection and classification techniques and to the identification of appropriate responses."
"8,504,493",Self-organizing sequential memory pattern machine and reinforcement learning method,"August 6, 2013",G06N 20/00 (20190101),"A self-organizing computing machine utilizes a method for mapping from a plurality of patterns contained within provided inputs to an invariant perception, distinguishable by a name or a label. The self-organizing computing machine includes a network of at least three nodes arranged in at least two hierarchical levels, at least one feature extractor, and at least one output unit arranged to interface the invariant perception. The nodes may include a reinforcement learning sub-network combined with an ensemble learning sub-network. The reinforcement learning sub-network may be arranged to receive at least two correlants, to determine a plurality of output values and to output the output values to the nodes of the higher level and the nodes of the lower level. Also, the ensemble learning sub-network may be arranged to receive and to combine output values from nodes of the higher level and nodes of the lower level."
"8,468,041",Using reinforcement learning to facilitate dynamic resource allocation,"June 18, 2013",G06Q 10/06313 (20130101),"One embodiment of the present invention provides a system that allocates resources to projects in a computer system. During operation, the system determines a current demand by a project for a resource, and a current allocation of the resource to the project. The system also uses a computational model to compute an expected long-term utility of the project for the resource. Next, the system trades the resource between the project and other projects in the computer system to optimize expected long-term utilities. During this process, the system uses a reinforcement learning technique to update parameters of the computational model for the expected long-term utility of the project based on performance feedback."
"8,438,248",Optimization of network protocol options by reinforcement learning and propagation,"May 7, 2013",H04L 41/0816 (20130101); H04L 69/24 (20130101); H04L 67/322 (20130101); H04L 41/16 (20130101),"In one embodiment, a method for optimization of network protocol options with reinforcement learning and propagation is disclosed. The method comprises: interacting, by a learning component of a server of a network, with one or more clients and an environment of the network; conducting, by the learning component, different trials of one or more options in different states for network communication via a protocol of the network; receiving, by the learning component, performance feedback for the different trials as rewards; and utilizing, by the learning component, the different trials and associated resulting rewards to improve a decision-making policy associated with the server for negotiation of the one or more options. Other embodiments are also described."
"8,391,603",System and method for image segmentation,"March 5, 2013",G06K 9/6253 (20130101); G06T 7/174 (20170101); G06T 7/12 (20170101); G06T 2207/10132 (20130101); G06T 2207/20076 (20130101); G06T 2207/20081 (20130101); G06T 2207/20096 (20130101); G06T 2207/30004 (20130101); G06T 2207/30081 (20130101); G06T 2207/20084 (20130101),"A method of segmenting images receives an image (such as a medical image) and a segment in relation to the image, displays them to an observer, receives a modification to the segment from the observer, and generates a second segment in relation to a second image, responsive to the modification. An image segmentation system includes a learning scheme or model to take input from an observer feedback interface and to communicate with a means for drawing an image segment to permit adjustment of at least one image segmentation parameter (such as a threshold value). The learning scheme is provided with a knowledge base which may initially be created by processing offline images. The learning scheme may use any scheme such as a reinforcement learning agent, a fuzzy inference system or a neural network."
"8,301,406",Methods for prognosing mechanical systems,"October 30, 2012",G05B 23/0254 (20130101); G06K 9/00496 (20130101); G06K 9/6256 (20130101); G06K 9/6251 (20130101); G06K 9/6226 (20130101),"A method of prognosing a mechanical system to predict when a failure may occur is disclosed. Measurement data corresponding to the mechanical system is used to extract one or more features by decomposing the measurement data into a feature space. A prediction model is then selected from a plurality of prediction models for the one or more features based at least on part on a degradation status of the mechanical system and a reinforcement learning model. A predicted feature space is generated by applying the selective prediction model to the feature space as well as a confidence value by comparing the predicted feature space with a normal baseline distribution, a faulty baseline distribution, or a combination thereof. A status of mechanical system based at least in part on the confidence value is then provided."
"8,301,250",Intelligent control system for adaptive cardiac resynchronization therapy device,"October 30, 2012",A61N 1/36571 (20130101); A61N 1/3627 (20130101),"An adaptive CRT control system that achieves optimal AV delay and VV pacing intervals associated with temporal patterns of stroke volumes that represent internally the heart conditions is disclosed. The adaptive CRT control system includes: (a) at least two implanted electrodes in patient heart and at least additional one hemodynamic sensor able to indicate the stroke volume heartbeat after heartbeat; (b) an input pre processing stage synchronizer priority classifier that synchronize on the sensed atrial event, classify heart conditions and associate the learned optimal pacing intervals according to prioritized operational modes and learning schemes; (c) a learning module that with the input stage synchronizer priority classifier processes the inputs of the implanted electrodes and hemodynamic sensor and using a reinforcement learning scheme learns to achieve and to associate optimal pacing intervals at each heart condition with temporal patterns of stroke volumes; (d) an algorithmic micro-controller module that supervises the learning module and control a pulse generator module, and (f) a pulse generator that delivers therapeutic stimulation to the patient heart."
"8,176,011",Method and system for maintaining profiles of information channels,"May 8, 2012",G06F 16/9535 (20190101); H04L 69/14 (20130101),"A method and system are provided for maintaining profiles of information channels available on the Web, wherein the information channels are accessed via pull-only protocols. The method includes monitoring one or more channels by a channel pull action at a monitoring rate, wherein the monitoring rate is determined for the one or more channels based on the number of update events in a previous time period. The method may optimally include filtering the update events in the time period by a novelty measure, wherein the filtering disregards events that do not include significant novel information. The monitoring rate is adapted based on reinforcement learning applying iterative learning rules over time."
"8,285,581",System and method for sequential decision making for customer relationship management,"October 9, 2012",G06Q 10/06375 (20130101); G06Q 30/02 (20130101); G06Q 30/0201 (20130101); G06Q 30/0239 (20130101); G06Q 30/0204 (20130101); G06Q 30/0226 (20130101); G06Q 30/0234 (20130101); G06Q 30/0202 (20130101),"A system and method for sequential decision-making for customer relationship management includes providing customer data including stimulus-response history data, and automatically generating actionable rules based on the customer data. Further, automatically generating actionable rules may include estimating a value function using reinforcement learning."
"8,176,011",Method and system for maintaining profiles of information channels,"May 8, 2012",G06F 16/9535 (20190101); H04L 69/14 (20130101),"A method and system are provided for maintaining profiles of information channels available on the Web, wherein the information channels are accessed via pull-only protocols. The method includes monitoring one or more channels by a channel pull action at a monitoring rate, wherein the monitoring rate is determined for the one or more channels based on the number of update events in a previous time period. The method may optimally include filtering the update events in the time period by a novelty measure, wherein the filtering disregards events that do not include significant novel information. The monitoring rate is adapted based on reinforcement learning applying iterative learning rules over time."
"8,175,982",Value function representation method of reinforcement learning and apparatus using this,"May 8, 2012",G06N 20/00 (20190101),"Reinforcement learning is one of the intellectual operations applied to autonomously moving robots etc. It is a system having excellent sides, for example, enabling operation in unknown environments. However, it has the basic problem called the ""incomplete perception problem"". A variety of solution has been proposed, but none has been decisive. The systems also become complex. A simple and effective method of solution has been desired. A complex value function defining a state-action value by a complex number is introduced. Time series information is introduced into a phase part of the complex number value. Due to this, the time series information is introduced into the value function without using a complex algorithm, so the incomplete perception problem is effectively solved by simple loading of the method."
"8,145,383",Process and system for controlling air quality within an interior of a motor vehicle,"March 27, 2012",B60H 1/00849 (20130101); B60H 1/008 (20130101),"The present invention discloses a process for controlling air quality within an interior of a motor vehicle. The process can include providing a motor vehicle with a heating-venting-air conditioning (HVAC) system, the HVAC system having an internal air supply option and an external air supply option. The process can also include providing a reinforcement learning system that can increase the air quality within the motor vehicle as a function of user preferences with respect to choosing the external air supply or the internal air supply."
"8,041,442",Process for selecting surrogate part,"October 18, 2011",C25D 21/12 (20130101); G05B 19/4093 (20130101); C23C 18/1675 (20130101); C25D 5/02 (20130101); C23C 18/1603 (20130101); Y02P 90/265 (20151101); G05B 2219/33032 (20130101); G05B 2219/32114 (20130101),"A process for selecting a surrogate part for metallic plating, the metallic plating of the surrogate part predicting results for the metallic plating of a new or predetermined part is disclosed. The process can include providing a reinforcement learning system having a memory circuitry and a processing circuitry. The memory circuitry can have a database with data associated with a plurality of surrogate parts and data associated with the predetermined part can be entered into the data input module. The processing circuitry can compare the data associated with each of the plurality of surrogate parts and the data associated with the predetermined part and select a surrogate part that affords predicting a plating result of the predetermined part."
"7,970,739",Method and system for maintaining profiles of information channels,"June 28, 2011",G06F 16/9535 (20190101); H04L 69/14 (20130101),"A method and system are provided for maintaining profiles of information channels available on the Web, wherein the information channels are accessed via pull-only protocols. The method includes monitoring one or more channels by a channel pull action at a monitoring rate, wherein the monitoring rate is determined for the one or more channels based on the number of update events in a previous time period. The method may optimally include filtering the update events in the time period by a novelty measure, wherein the filtering disregards events that do not include significant novel information. The monitoring rate is adapted based on reinforcement learning applying iterative learning rules over time."
"7,958,552",System to establish trust between policy systems and users,"June 7, 2011",G06F 21/62 (20130101),"A system and method are provided to establish trust between a user and a policy system that generates recommended actions in accordance with specified policies. Trust is introduced into the policy-based system by assigning a value to each execution of each policy with respect to the policy-based system, called the instantaneous trust index. The instantaneous trust indices for each one of the policies, for the each execution of a given policy or for both are combined into the overall trust index for a given policy or for a given policy-based system. The recommended actions are processed in accordance with the level or trust associated with a given policy as expressed by the trust indices. Manual user input is provided to monitor or change the recommended actions. In addition, reinforcement learning algorithms are used to further enhance the level of trust between the user and the policy-based system."
"7,707,131",Thompson strategy based online reinforcement learning system for action selection,"April 27, 2010",G06N 5/04 (20060101); G06N 7/00 (20060101); G06N 7/02 (20060101),"A system and method for online reinforcement learning is provided. In particular, a method for performing the explore-vs.-exploit tradeoff is provided. Although the method is heuristic, it can be applied in a principled manner while simultaneously learning the parameters and/or structure of the model (e.g., Bayesian network model). The system includes a model which receives an input (e.g., from a user) and provides a probability distribution associated with uncertainty regarding parameters of the model to a decision engine. The decision engine can determine whether to exploit the information known to it or to explore to obtain additional information based, at least in part, upon the explore-vs.-exploit tradeoff (e.g., Thompson strategy). A reinforcement learning component can obtain additional information (e.g., feedback from a user) and update parameter(s) and/or the structure of the model. The system can be employed in scenarios in which an influence diagram is used to make repeated decisions and maximization of long-term expected utility is desired."
"7,672,739",System for multiresolution analysis assisted reinforcement learning approach to run-by-run control,"March 2, 2010",G05B 11/42 (20130101); G05B 13/048 (20130101),A new multiresolution analysis (wavelet) assisted reinforcement learning (RL) based control strategy that can effectively deal with both multiscale disturbances in processes and the lack of process models. The application of wavelet aided RL based controller represents a paradigm shift in the control of large scale stochastic dynamic systems of which the control problem is a subset. The control strategy is termed a WRL-RbR controller. The WRL-RbR controller is tested on a multiple-input-multiple-output (MIMO) Chemical Mechanical Planarization (CMP) process of wafer fabrication for which process model is available. Results show that the RL controller outperforms EWMA based controllers for low autocorrelation. The new controller also performs quite well for strongly autocorrelated processes for which the EWMA controllers are known to fail. Convergence analysis of the new breed of WRL-RbR controller is presented. Further enhancement of the controller to deal with model free processes and for inputs coming from spatially distributed environments are also addressed.
"7,519,553",Method and system for debt collection optimization,"April 14, 2009",G06Q 40/00 (20130101); G06Q 40/025 (20130101); G06Q 40/12 (20131203),"The present invention employs data processing systems to handle debt collection by formulation the collections process as a Markov Decision Process with constrained resources, thus making it possible automatically to generate an optimal collections policy with respect to maximizing long-term expected return throughout the course of a collections process, subject to constraints on the available resources possibly in multiple organizations. This is accomplished by coupling data modeling and resource optimization within the constrained Markov Decision Process formulation and generating optimized rules based on constrained reinforcement learning process comprising applied on the basis of past historical data."
